rank	word	english	ipa
414	двама	two	[ˈdvamɐ]
415	погледни	second-person singular imperative of погле́дна	[poɡlɛdˈni]
416	намеря	to figure out, to gauge	[nɐˈmɛrʲɐ]
417	дълго	for a long time	[ˈdɤɫɡo]
418	някъде	somewhere	[ˈnʲa̟kɐdɛ]
419	някакъв	some	[ˈnʲa̟kɐkɐf]
420	лесно	easily	[ˈlɛsno]
421	виждал	indefinite masculine singular past active aorist participle…	[ˈviʒdɐɫ]
422	оттук	from here	[otˈtuk]
423	край	by; along	[kraj]
424	любов	love, devotion, affection	[lʲo̟ˈbɔf]
425	онзи	Used in indicating a person or thing that is away from the…	[ˈɔnzi]
426	дума	word	[ˈdumɐ]
427	чао	bye	[ˈt͡ʃa̟o]
428	кое	who, which	[koˈɛ]
429	обратно	back	[oˈbratno]
430	познавам	to know, to be acquainted with	[poˈznavɐm]
431	струва	it is worth it	[ˈstruvɐ]
432	отколкото	than	[otˈkɔɫkoto]
433	нашата	our, ours	[ˈnaʃɐtɐ]
434	история	history	[iˈstɔrijɐ]
435	пътя	path, road, way, alley	[ˈpɤtʲɐ]
436	вода	aqua, water found at room temperature and pressure as a…	[voˈda]
437	спокойно	calmly	[spoˈkɔjno]
438	получи	third-person singular present indicative	[poˈɫut͡ʃi]
439	връзка	lace	[ˈvrɤskɐ]
440	помогне	third-person singular present indicative of помо́гна	[poˈmɔɡnɛ]
441	стаята	definite singular of ста́я	[ˈstajɐtɐ]
442	право	straight, right, directly	[ˈpravo]
443	късно	late	[ˈkɤsno]
444	долу	down, downward	[ˈdɔɫo]
445	нашите	my parents, my folks	[ˈnaʃitɛ]
446	превод	translation	[ˈprɛvot]
447	причина	cause, reason	[priˈt͡ʃinɐ]
448	стая	room, chamber	[ˈstajɐ]
449	къща	house, home	[ˈkɤʃtɐ]
450	остана	to stay, to remain	[oˈstanɐ]
451	супер	great, awesome, superb	[ˈsupɛr]
452	номер	number	[ˈnɔmɛr]
453	края	definite object singular of край the end	[ˈkrajɐ]
454	ужасно	terribly, horribly	[oˈʒa̟sno]
455	започна	to begin, to start, to commence	[zɐˈpɔt͡ʃnɐ]
456	приятно	pleasantly	[priˈja̟tno]
457	искаме	first-person plural present indicative of и́скам	[ˈiskɐmɛ]
458	цял	entire, whole, all, full, intact, in one piece, complete,…	[t͡sʲa̟ɫ]
459	отивам	to go, to go away	[oˈtivɐm]
460	съвсем	completely, entirely, absolutely, totally	[sɐfˈsɛm]
461	някаква	feminine singular of някакъ́в	[nʲɐkɐˈkva]
462	живее	third-person singular present indicative of живе́я	[ʒiˈvɛɛ]
463	тръгвам	to begin a journey, to set out, to set off, to embark	[ˈtrɤɡvɐm]
464	бъди	to be	[bɐˈdi]
465	въпреки	contrary to, despite, in spite of, notwithstanding	[ˈvɤprɛki]
466	убие	third-person singular present indicative of уби́я	[oˈbiɛ]
467	идвам	to come	[ˈidvɐm]
468	казват	third-person plural present indicative of ка́звам	[ˈkazvɐt]
469	изобщо	generally, in general	[izˈɔpʃto]
470	лицето	definite singular of лице́	/liˈt͡sɛto/
471	повярвам	to believe, swallow, buy	[poˈvʲa̟rvɐm]
472	види	third-person singular present indicative of ви́дя	[ˈvidi]
473	нов	new	[nɔf]
474	разбра	second-person singular aorist indicative of разбера́	[rɐzˈbra]
475	целия	definite object masculine singular of цял	[ˈt͡sɛlijɐ]
476	дойда	to come	[ˈdɔjdɐ]
477	седмици	indefinite plural of се́дмица	[ˈsɛdmit͡si]
478	работя	to work, to labour	[rɐˈbɔtʲɐ]
479	първи	first	[ˈpɤrvi]
480	против	against	[proˈtif]
481	що	that, which	[ʃtɔ]
482	снощи	last night	[ˈsnɔʃti]
483	жив	alive, living	[ʒif]
484	кръв	blood	[krɤf]
485	далеч	alternative form of дале́че	[dɐˈlɛt͡ʃ]
486	недей	don't !	[nɛˈdɛj]
487	права	straight	[ˈpravɐ]
488	опитвам	to try	[oˈpitvɐm]
489	двете	two	[ˈdvɛtɛ]
490	обадя	to tell, to notify	[oˈbadʲɐ]
491	жени	indefinite plural of жена́	[ʒɛˈni]
492	явно	clearly	[ˈja̟vno]
493	истински	truly, really, genuinely	[ˈistinski]
494	мъже	male	[mɐˈʒɛ]
495	сигурност	security	[ˈsiɡornost]
496	обича	third-person singular present indicative of оби́чам	[oˈbit͡ʃɐ]
497	информация	information	[inforˈmat͡sijɐ]
498	сутрин	in the morning	[ˈsutrin]
499	правилно	correctly	[ˈpraviɫno]
500	късмет	fortune, luck, kismet	[kɐˈsmɛt]
501	току-що	just now; recently	[toˈku-ʃˈtɔ]
502	малка	indefinite feminine singular of ма́лък	[ˈmaɫkɐ]
503	страх	fear, fright, scare	[strax]
504	обичаш	second-person singular present indicative of оби́чам	[oˈbit͡ʃɐʃ]
505	мина	to pass by, to elapse	[ˈminɐ]
506	навън	out, outside	[nɐˈvɤn]
507	сина	definite object singular of син	[siˈna]
508	можеше	second-person singular imperfect indicative of мо́га	[ˈmɔʒɛʃɛ]
509	четири	four	[ˈt͡ʃɛtri]
510	човека	definite object singular of чове́к	[t͡ʃo̟ˈvɛkɐ]
511	общо	together	[ˈɔpʃto]
512	иначе	differently	/ˈinɐt͡ʃɛ/
513	утро	dawn	[ˈutro]
514	нова	new	[ˈnɔvɐ]
515	грешка	mistake, error	[ˈɡrɛʃkɐ]
516	горе	up	[ˈɡɔrɛ]
517	насам	hither, this way, towards this place	[nɐˈsam]
518	ръката	definite singular of ръка́	/rɐˈkatɐ/
519	агент	male agent, male factor	[ɐˈɡɛnt]
520	храна	food, foodstuff, provisions; nourishment, nutrition	[xrɐˈna]
521	чичо	paternal uncle	[ˈt͡ʃit͡ʃo̟]
522	секс	sex, sexual intercourse, love-making	[sɛks]
523	малък	small, little	[ˈmaɫɐk]
524	харесвам	to like, to have a liking for	[xɐˈrɛsvɐm]
525	избор	choice	[ˈizbor]
526	имал	indefinite masculine singular past active aorist participle…	[ˈimɐɫ]
527	убия	to kill, to slay, to destroy, to murder, to finish, to…	[oˈbijɐ]
528	определено	definitely	[oprɛdɛˈlɛno]
529	никого	direct object form of ни́кой	[ˈnikoɡo]
530	очевидно	evidently, apparently	[ot͡ʃɛˈvidno]
531	оставя	to leave, abandon	[oˈstavʲɐ]
532	разбера	to understand, to comprehend, to make out	[rɐzbɛˈrɤ]
533	град	town, city	[ɡrat]
534	близо	nearby, close	[ˈblizo]
535	господа	indefinite plural of господи́н	[ɡospoˈda]
536	вчера	yesterday	[ˈft͡ʃɛrɐ]
